Elapsed time,ECG
0:03.292,-11
0:03.294,-9
0:03.296,-6
0:03.298,-2
0:03.300,1
0:03.302,2
0:03.304,0
0:03.306,-5
0:03.308,-6
0:03.310,-7
0:03.312,-13
0:03.314,-8
0:03.316,-3
0:03.318,-3
0:03.320,-1
0:03.322,3
0:03.324,2
0:03.326,1
0:03.328,-1
0:03.330,-2
0:03.332,-3
0:03.334,0
0:03.336,-1
0:03.338,0
0:03.340,2
0:03.342,5
0:03.344,6
0:03.346,3
0:03.348,3
0:03.350,0
0:03.352,2
0:03.354,2
0:03.356,6
0:03.358,9
0:03.360,11
0:03.362,13
0:03.364,14
0:03.366,13
0:03.368,12
0:03.370,10
0:03.372,13
0:03.374,14
0:03.376,20
0:03.378,22
0:03.380,23
0:03.382,26
0:03.384,26
0:03.386,24
0:03.388,23
0:03.390,23
0:03.392,25
0:03.394,28
0:03.396,31
0:03.398,34
0:03.400,33
0:03.402,35
0:03.404,33
0:03.406,34
0:03.408,37
0:03.410,36
0:03.412,35
0:03.414,39
0:03.416,40
0:03.418,42
0:03.420,39
0:03.422,43
0:03.424,39
0:03.426,39
0:03.428,38
0:03.430,34
0:03.432,33
0:03.434,34
0:03.436,37
0:03.438,34
0:03.440,35
0:03.442,34
0:03.444,35
0:03.446,26
0:03.448,25
0:03.450,24
0:03.452,21
0:03.454,21
0:03.456,22
0:03.458,21
0:03.460,20
0:03.462,18
0:03.464,15
0:03.466,13
0:03.468,9
0:03.470,5
0:03.472,1
0:03.474,1
0:03.476,-1
0:03.478,1
0:03.480,1
0:03.482,0
0:03.484,-3
0:03.486,-5
0:03.488,-6
0:03.490,-9
0:03.492,-10
0:03.494,-10
0:03.496,-7
0:03.498,-7
0:03.500,-4
0:03.502,-4
0:03.504,-7
0:03.506,-8
0:03.508,-11
0:03.510,-11
0:03.512,-9
0:03.514,-8
0:03.516,-9
0:03.518,-10
0:03.520,-11
0:03.522,-11
0:03.524,-15
0:03.526,-15
0:03.528,-14
0:03.530,-15
0:03.532,-15
0:03.534,-12
0:03.536,-11
0:03.538,-11
0:03.540,-10
0:03.542,-9
0:03.544,-10
0:03.546,-12
0:03.548,-13
0:03.550,-16
0:03.552,-14
0:03.554,-12
0:03.556,-11
0:03.558,-7
0:03.560,-4
0:03.562,-5
0:03.564,-9
0:03.566,-14
0:03.568,-14
0:03.570,-15
0:03.572,-11
0:03.574,-9
0:03.576,-4
0:03.578,-7
0:03.580,-5
0:03.582,-5
0:03.584,-8
0:03.586,-11
0:03.588,-13
0:03.590,-14
0:03.592,-13
0:03.594,-9
0:03.596,-8
0:03.598,-8
0:03.600,-5
0:03.602,-2
0:03.604,-7
0:03.606,-9
0:03.608,-10
0:03.610,-13
0:03.612,-13
0:03.614,-10
0:03.616,-7
0:03.618,-7
0:03.620,-4
0:03.622,-3
0:03.624,-6
0:03.626,-7
0:03.628,-9
0:03.630,-10
0:03.632,-10
0:03.634,-6
0:03.636,-6
0:03.638,-6
0:03.640,-5
0:03.642,-2
0:03.644,-8
0:03.646,-7
0:03.648,-8
0:03.650,-10
0:03.652,-7
0:03.654,-7
0:03.656,-3
0:03.658,-5
0:03.660,-3
0:03.662,-3
0:03.664,-5
0:03.666,-8
0:03.668,-8
0:03.670,-10
0:03.672,-11
0:03.674,-8
0:03.676,-6
0:03.678,-5
0:03.680,-5
0:03.682,-6
0:03.684,-7
0:03.686,-12
0:03.688,-12
0:03.690,-14
0:03.692,-12
0:03.694,-7
0:03.696,-6
0:03.698,-2
0:03.700,-5
0:03.702,-5
0:03.704,-8
0:03.706,-11
0:03.708,-14
0:03.710,-15
0:03.712,-8
0:03.714,-9
0:03.716,-8
0:03.718,-9
0:03.720,-6
0:03.722,-7
0:03.724,-10
0:03.726,-11
0:03.728,-13
0:03.730,-14
0:03.732,-13
0:03.734,-12
0:03.736,-10
0:03.738,-8
0:03.740,-6
0:03.742,-9
0:03.744,-11
0:03.746,-10
0:03.748,-12
0:03.750,-14
0:03.752,-9
0:03.754,-8
0:03.756,-6
0:03.758,-5
0:03.760,-8
0:03.762,-8
0:03.764,-11
0:03.766,-11
0:03.768,-13
0:03.770,-13
0:03.772,-13
0:03.774,-12
0:03.776,-5
0:03.778,-6
0:03.780,-3
0:03.782,-8
0:03.784,-12
0:03.786,-13
0:03.788,-14
0:03.790,-15
0:03.792,-12
0:03.794,-10
0:03.796,-5
0:03.798,-5
0:03.800,-5
0:03.802,-6
0:03.804,-9
0:03.806,-11
0:03.808,-12
0:03.810,-16
0:03.812,-15
0:03.814,-14
0:03.816,-12
0:03.818,-7
0:03.820,-7
0:03.822,-11
0:03.824,-11
0:03.826,-13
0:03.828,-15
0:03.830,-15
0:03.832,-13
0:03.834,-9
0:03.836,-7
0:03.838,-5
0:03.840,-7
0:03.842,-7
0:03.844,-8
0:03.846,-9
0:03.848,-12
0:03.850,-12
0:03.852,-8
0:03.854,-7
0:03.856,-6
0:03.858,-4
0:03.860,-3
0:03.862,-6
0:03.864,-7
0:03.866,-8
0:03.868,-10
0:03.870,-9
0:03.872,-10
0:03.874,-5
0:03.876,1
0:03.878,2
0:03.880,4
0:03.882,6
0:03.884,7
0:03.886,6
0:03.888,7
0:03.890,5
0:03.892,8
0:03.894,9
0:03.896,11
0:03.898,13
0:03.900,15
0:03.902,13
0:03.904,11
0:03.906,9
0:03.908,8
0:03.910,11
0:03.912,13
0:03.914,18
0:03.916,21
0:03.918,25
0:03.920,26
0:03.922,19
0:03.924,18
0:03.926,20
0:03.928,18
0:03.930,19
0:03.932,20
0:03.934,22
0:03.936,25
0:03.938,27
0:03.940,29
0:03.942,29
0:03.944,26
0:03.946,27
0:03.948,24
0:03.950,25
0:03.952,25
0:03.954,27
0:03.956,29
0:03.958,31
0:03.960,34
0:03.962,32
0:03.964,33
0:03.966,33
0:03.968,31
0:03.970,31
0:03.972,32
0:03.974,31
0:03.976,33
0:03.978,36
0:03.980,33
0:03.982,32
0:03.984,32
0:03.986,32
0:03.988,28
0:03.990,26
0:03.992,28
0:03.994,28
0:03.996,27
0:03.998,27
0:04.000,26
0:04.002,22
0:04.004,22
0:04.006,19
0:04.008,18
0:04.010,19
0:04.012,21
0:04.014,24
0:04.016,25
0:04.018,24
0:04.020,22
0:04.022,21
0:04.024,18
0:04.026,17
0:04.028,14
0:04.030,17
0:04.032,21
0:04.034,20
0:04.036,21
0:04.038,20
0:04.040,19
0:04.042,16
0:04.044,14
0:04.046,15
0:04.048,11
0:04.050,14
0:04.052,14
0:04.054,16
0:04.056,17
0:04.058,20
0:04.060,17
0:04.062,13
0:04.064,12
0:04.066,10
0:04.068,10
0:04.070,11
0:04.072,14
0:04.074,16
0:04.076,17
0:04.078,17
0:04.080,14
0:04.082,13
0:04.084,13
0:04.086,9
0:04.088,13
0:04.090,13
0:04.092,13
0:04.094,14
0:04.096,12
0:04.098,14
0:04.100,12
0:04.102,7
0:04.104,6
0:04.106,8
0:04.108,11
0:04.110,17
0:04.112,26
0:04.114,37
0:04.116,47
0:04.118,58
0:04.120,66
0:04.122,79
0:04.124,100
0:04.126,121
0:04.128,141
0:04.130,151
0:04.132,151
0:04.134,148
0:04.136,139
0:04.138,123
0:04.140,103
0:04.142,86
0:04.144,65
0:04.146,38
0:04.148,14
0:04.150,-3
0:04.152,-9
0:04.154,-8
0:04.156,-4
0:04.158,3
0:04.160,5
0:04.162,5
0:04.164,8
0:04.166,12
0:04.168,17
0:04.170,18
0:04.172,20
0:04.174,24
0:04.176,22
0:04.178,18
0:04.180,15
0:04.182,14
0:04.184,13
0:04.186,14
0:04.188,14
0:04.190,17
0:04.192,18
0:04.194,21
0:04.196,21
0:04.198,22
0:04.200,19
0:04.202,19
0:04.204,17
0:04.206,17
0:04.208,17
0:04.210,20
0:04.212,22
0:04.214,24
0:04.216,26
0:04.218,22
0:04.220,18
0:04.222,15
0:04.224,14
0:04.226,14
0:04.228,15
0:04.230,19
0:04.232,23
0:04.234,25
0:04.236,26
0:04.238,25
0:04.240,23
0:04.242,21
0:04.244,20
0:04.246,21
0:04.248,22
0:04.250,24
0:04.252,25
0:04.254,25
0:04.256,26
0:04.258,26
0:04.260,21
0:04.262,21
0:04.264,24
0:04.266,21
0:04.268,22
0:04.270,24
0:04.272,26
0:04.274,29
0:04.276,33
0:04.278,30
0:04.280,28
0:04.282,26
0:04.284,25
0:04.286,26
0:04.288,26
0:04.290,28
0:04.292,28
0:04.294,29
0:04.296,33
0:04.298,34
0:04.300,32
0:04.302,32
0:04.304,33
0:04.306,32
0:04.308,37
0:04.310,36
0:04.312,39
0:04.314,40
0:04.316,42
0:04.318,41
0:04.320,40
0:04.322,40
0:04.324,40
0:04.326,40
0:04.328,43
0:04.330,45
0:04.332,50
0:04.334,52
0:04.336,54
0:04.338,51
0:04.340,51
0:04.342,52
0:04.344,52
0:04.346,49
0:04.348,52
0:04.350,54
0:04.352,53
0:04.354,54
0:04.356,51
0:04.358,53
0:04.360,52
0:04.362,49
0:04.364,48
0:04.366,47
0:04.368,48
0:04.370,51
0:04.372,47
0:04.374,48
0:04.376,48
0:04.378,44
0:04.380,40
0:04.382,36
0:04.384,33
0:04.386,30
0:04.388,31
0:04.390,31
0:04.392,30
0:04.394,27
0:04.396,24
0:04.398,18
0:04.400,17
0:04.402,14
0:04.404,10
0:04.406,8
0:04.408,9
0:04.410,9
0:04.412,8
0:04.414,10
0:04.416,9
0:04.418,6
0:04.420,2
0:04.422,-1
0:04.424,-3
0:04.426,-5
0:04.428,-3
0:04.430,-2
0:04.432,0
0:04.434,1
0:04.436,1
0:04.438,-4
0:04.440,-6
0:04.442,-9
0:04.444,-12
0:04.446,-8
0:04.448,-8
0:04.450,-4
0:04.452,-3
0:04.454,-3
0:04.456,-2
0:04.458,-4
0:04.460,-10
0:04.462,-11
0:04.464,-15
0:04.466,-12
0:04.468,-11
0:04.470,-7
0:04.472,-6
0:04.474,-6
0:04.476,-5
0:04.478,-8
0:04.480,-12
0:04.482,-11
0:04.484,-11
0:04.486,-13
0:04.488,-12
0:04.490,-10
0:04.492,-6
0:04.494,-4
0:04.496,-4
0:04.498,-6
0:04.500,-8
0:04.502,-10
0:04.504,-13
0:04.506,-14
0:04.508,-11
0:04.510,-7
0:04.512,-5
0:04.514,-4
0:04.516,-3
0:04.518,-6
0:04.520,-9
0:04.522,-9
0:04.524,-10
0:04.526,-8
0:04.528,-5
0:04.530,-3
0:04.532,-3
0:04.534,0
0:04.536,-2
0:04.538,-7
0:04.540,-11
0:04.542,-8
0:04.544,-13
0:04.546,-8
0:04.548,-10
0:04.550,-7
0:04.552,-2
0:04.554,1
0:04.556,-4
0:04.558,-8
0:04.560,-8
0:04.562,-8
0:04.564,-13
0:04.566,-9
0:04.568,-7
0:04.570,-5
0:04.572,-5
0:04.574,-2
0:04.576,-3
0:04.578,-7
0:04.580,-7
0:04.582,-9
0:04.584,-10
0:04.586,-10
0:04.588,-8
0:04.590,-8
0:04.592,-9
0:04.594,-5
0:04.596,-8
0:04.598,-9
0:04.600,-11
0:04.602,-14
0:04.604,-14
0:04.606,-12
0:04.608,-9
0:04.610,-7
0:04.612,-6
0:04.614,-5
0:04.616,-5
0:04.618,-7
0:04.620,-10
0:04.622,-15
0:04.624,-20
0:04.626,-14
0:04.628,-10
0:04.630,-10
0:04.632,-8
0:04.634,-7
0:04.636,-8
0:04.638,-10
0:04.640,-12
0:04.642,-15
0:04.644,-14
0:04.646,-10
0:04.648,-10
0:04.650,-10
0:04.652,-8
0:04.654,-7
0:04.656,-9
0:04.658,-12
0:04.660,-14
0:04.662,-15
0:04.664,-16
0:04.666,-15
0:04.668,-8
0:04.670,-9
0:04.672,-8
0:04.674,-7
0:04.676,-11
0:04.678,-11
0:04.680,-13
0:04.682,-15
0:04.684,-15
0:04.686,-12
0:04.688,-13
0:04.690,-12
0:04.692,-11
0:04.694,-9
0:04.696,-9
0:04.698,-12
0:04.700,-16
0:04.702,-14
0:04.704,-15
0:04.706,-12
0:04.708,-11
0:04.710,-13
0:04.712,-9
0:04.714,-9
0:04.716,-10
0:04.718,-13
0:04.720,-13
0:04.722,-15
0:04.724,-16
0:04.726,-13
0:04.728,-11
0:04.730,-10
0:04.732,-10
0:04.734,-8
0:04.736,-12
0:04.738,-13
0:04.740,-15
0:04.742,-17
0:04.744,-16
0:04.746,-13
0:04.748,-12
0:04.750,-11
0:04.752,-10
0:04.754,-7
0:04.756,-13
0:04.758,-14
0:04.760,-11
0:04.762,-17
0:04.764,-14
0:04.766,-13
0:04.768,-9
0:04.770,-12
0:04.772,-10
0:04.774,-9
0:04.776,-14
0:04.778,-16
0:04.780,-15
0:04.782,-17
0:04.784,-18
0:04.786,-14
0:04.788,-10
0:04.790,-11
0:04.792,-9
0:04.794,-8
0:04.796,-10
0:04.798,-15
0:04.800,-15
0:04.802,-18
0:04.804,-18
0:04.806,-15
0:04.808,-14
0:04.810,-12
0:04.812,-9
0:04.814,-10
0:04.816,-13
0:04.818,-16
0:04.820,-15
0:04.822,-15
0:04.824,-13
0:04.826,-13
0:04.828,-13
0:04.830,-13
0:04.832,-10
0:04.834,-13
0:04.836,-15
0:04.838,-15
0:04.840,-15
0:04.842,-17
0:04.844,-15
0:04.846,-12
0:04.848,-8
0:04.850,-8
0:04.852,-6
0:04.854,-6
0:04.856,-9
0:04.858,-11
0:04.860,-11
0:04.862,-10
0:04.864,-9
0:04.866,-8
0:04.868,-7
0:04.870,-3
0:04.872,0
0:04.874,-1
0:04.876,-3
0:04.878,-4
0:04.880,-4
0:04.882,-3
0:04.884,0
0:04.886,-2
0:04.888,1
0:04.890,2
0:04.892,2
0:04.894,-1
0:04.896,-2
0:04.898,-3
0:04.900,-3
0:04.902,-5
0:04.904,-4
0:04.906,-2
0:04.908,2
0:04.910,0
0:04.912,-1
0:04.914,-6
0:04.916,-9
0:04.918,-12
0:04.920,-13
0:04.922,-16
0:04.924,-16
0:04.926,-14
0:04.928,-13
0:04.930,-10
0:04.932,-9
0:04.934,-12
0:04.936,-13
0:04.938,-15
0:04.940,-18
0:04.942,-21
0:04.944,-17
0:04.946,-13
0:04.948,-13
0:04.950,-14
0:04.952,-11
0:04.954,-12
0:04.956,-15
0:04.958,-19
0:04.960,-21
0:04.962,-24
0:04.964,-22
0:04.966,-15
0:04.968,-16
0:04.970,-14
0:04.972,-12
0:04.974,-16
0:04.976,-19
0:04.978,-22
0:04.980,-20
0:04.982,-18
0:04.984,-19
0:04.986,-17
0:04.988,-15
0:04.990,-15
0:04.992,-13
0:04.994,-16
0:04.996,-20
0:04.998,-20
0:05.000,-20
0:05.002,-20
0:05.004,-18
0:05.006,-18
0:05.008,-16
0:05.010,-19
0:05.012,-18
0:05.014,-20
0:05.016,-21
0:05.018,-25
0:05.020,-29
0:05.022,-29
0:05.024,-23
0:05.026,-15
0:05.028,-4
0:05.030,7
0:05.032,18
0:05.034,24
0:05.036,36
0:05.038,49
0:05.040,65
0:05.042,85
0:05.044,111
0:05.046,128
0:05.048,130
0:05.050,129
0:05.052,119
0:05.054,104
0:05.056,85
0:05.058,67
0:05.060,49
0:05.062,26
0:05.064,4
0:05.066,-18
0:05.068,-33
0:05.070,-34
0:05.072,-29
0:05.074,-25
0:05.076,-25
0:05.078,-23
0:05.080,-21
0:05.082,-19
0:05.084,-14
0:05.086,-12
0:05.088,-8
0:05.090,-8
0:05.092,-7
0:05.094,-11
0:05.096,-14
0:05.098,-17
0:05.100,-17
0:05.102,-16
0:05.104,-13
0:05.106,-10
0:05.108,-7
0:05.110,-5
0:05.112,-5
0:05.114,-6
0:05.116,-5
0:05.118,-12
0:05.120,-15
0:05.122,-14
0:05.124,-12
0:05.126,-10
0:05.128,-10
0:05.130,-6
0:05.132,-6
0:05.134,-8
0:05.136,-10
0:05.138,-10
0:05.140,-12
0:05.142,-10
0:05.144,-9
0:05.146,-6
0:05.148,-3
0:05.150,-2
0:05.152,-6
0:05.154,-7
0:05.156,-7
0:05.158,-8
0:05.160,-8
0:05.162,-6
0:05.164,-3
0:05.166,-2
0:05.168,-1
0:05.170,2
0:05.172,1
0:05.174,-4
0:05.176,-6
0:05.178,-8
0:05.180,-9
0:05.182,-9
0:05.184,-4
0:05.186,-2
0:05.188,1
0:05.190,4
0:05.192,3
0:05.194,0
0:05.196,-1
0:05.198,-3
0:05.200,-2
0:05.202,1
0:05.204,3
0:05.206,4
0:05.208,6
0:05.210,10
0:05.212,7
0:05.214,4
0:05.216,5
0:05.218,6
0:05.220,6
0:05.222,10
0:05.224,12
0:05.226,16
0:05.228,17
0:05.230,22
0:05.232,20
0:05.234,16
0:05.236,15
0:05.238,14
0:05.240,16
0:05.242,19
0:05.244,23
0:05.246,25
0:05.248,30
0:05.250,32
0:05.252,32
0:05.254,32
0:05.256,29
0:05.258,29
0:05.260,27
0:05.262,32
0:05.264,35
0:05.266,37
0:05.268,38
0:05.270,39
0:05.272,38
0:05.274,37
0:05.276,35
0:05.278,34
0:05.280,33
0:05.282,36
0:05.284,35
0:05.286,35
0:05.288,34
0:05.290,35
0:05.292,31
0:05.294,29
0:05.296,26
0:05.298,23
0:05.300,21
0:05.302,22
0:05.304,23
0:05.306,22
0:05.308,22
0:05.310,21
0:05.312,16
0:05.314,13
0:05.316,9
0:05.318,3
0:05.320,2
0:05.322,3
0:05.324,3
0:05.326,3
0:05.328,0
0:05.330,3
0:05.332,3
0:05.334,-4
0:05.336,-7
0:05.338,-9
0:05.340,-8
0:05.342,-8
0:05.344,-7
0:05.346,-8
0:05.348,-5
0:05.350,-4
0:05.352,-9
0:05.354,-10
0:05.356,-13
0:05.358,-14
0:05.360,-13
0:05.362,-9
0:05.364,-9
0:05.366,-11
0:05.368,-9
0:05.370,-9
0:05.372,-11
0:05.374,-14
0:05.376,-16
0:05.378,-17
0:05.380,-17
0:05.382,-17
0:05.384,-12
0:05.386,-13
0:05.388,-9
0:05.390,-10
0:05.392,-12
0:05.394,-15
0:05.396,-18
0:05.398,-17
0:05.400,-14
0:05.402,-13
0:05.404,-12
0:05.406,-8
0:05.408,-9
0:05.410,-10
0:05.412,-11
0:05.414,-12
0:05.416,-14
0:05.418,-16
0:05.420,-15
0:05.422,-12
0:05.424,-13
0:05.426,-10
0:05.428,-6
0:05.430,-8
0:05.432,-11
0:05.434,-11
0:05.436,-11
0:05.438,-12
0:05.440,-12
0:05.442,-9
0:05.444,-5
0:05.446,-4
0:05.448,-2
0:05.450,-5
0:05.452,-11
0:05.454,-12
0:05.456,-13
0:05.458,-13
0:05.460,-11
0:05.462,-9
0:05.464,-7
0:05.466,-5
0:05.468,-5
0:05.470,-7
0:05.472,-10
0:05.474,-9
0:05.476,-10
0:05.478,-11
0:05.480,-10
0:05.482,-8
0:05.484,-5
0:05.486,-4
0:05.488,-3
0:05.490,-4
0:05.492,-7
0:05.494,-7
0:05.496,-9
0:05.498,-11
0:05.500,-9
0:05.502,-7
0:05.504,-7
0:05.506,-6
0:05.508,-5
0:05.510,-6
0:05.512,-9
0:05.514,-8
0:05.516,-10
0:05.518,-11
0:05.520,-12
0:05.522,-8
0:05.524,-6
0:05.526,-6
0:05.528,-6
0:05.530,-10
0:05.532,-11
0:05.534,-12
0:05.536,-12
0:05.538,-14
0:05.540,-12
0:05.542,-10
0:05.544,-9
0:05.546,-8
0:05.548,-6
0:05.550,-8
0:05.552,-12
0:05.554,-12
0:05.556,-13
0:05.558,-14
0:05.560,-13
0:05.562,-11
0:05.564,-9
0:05.566,-9
0:05.568,-9
0:05.570,-11
0:05.572,-10
0:05.574,-11
0:05.576,-14
0:05.578,-14
0:05.580,-13
0:05.582,-12
0:05.584,-9
0:05.586,-8
0:05.588,-10
0:05.590,-11
0:05.592,-10
0:05.594,-12
0:05.596,-14
0:05.598,-14
0:05.600,-12
0:05.602,-11
0:05.604,-11
0:05.606,-9
0:05.608,-11
0:05.610,-13
0:05.612,-14
0:05.614,-13
0:05.616,-15
0:05.618,-17
0:05.620,-14
0:05.622,-12
0:05.624,-10
0:05.626,-10
0:05.628,-9
0:05.630,-11
0:05.632,-13
0:05.634,-11
0:05.636,-13
0:05.638,-14
0:05.640,-11
0:05.642,-11
0:05.644,-12
0:05.646,-8
0:05.648,-6
0:05.650,-10
0:05.652,-13
0:05.654,-17
0:05.656,-13
0:05.658,-14
0:05.660,-12
0:05.662,-8
0:05.664,-9
0:05.666,-9
0:05.668,-8
0:05.670,-11
0:05.672,-13
0:05.674,-16
0:05.676,-18
0:05.678,-16
0:05.680,-13
0:05.682,-10
0:05.684,-10
0:05.686,-10
0:05.688,-11
0:05.690,-14
0:05.692,-12
0:05.694,-13
0:05.696,-13
0:05.698,-16
0:05.700,-13
0:05.702,-11
0:05.704,-9
0:05.706,-9
0:05.708,-9
0:05.710,-11
0:05.712,-13
0:05.714,-13
0:05.716,-15
0:05.718,-15
0:05.720,-13
0:05.722,-8
0:05.724,-8
0:05.726,-7
0:05.728,-8
0:05.730,-9
0:05.732,-12
0:05.734,-11
0:05.736,-15
0:05.738,-14
0:05.740,-11
0:05.742,-7
0:05.744,-9
0:05.746,-9
0:05.748,-11
0:05.750,-13
0:05.752,-14
0:05.754,-15
0:05.756,-18
0:05.758,-14
0:05.760,-11
0:05.762,-10
0:05.764,-8
0:05.766,-8
0:05.768,-8
0:05.770,-13
0:05.772,-12
0:05.774,-17
0:05.776,-15
0:05.778,-15
0:05.780,-10
0:05.782,-6
0:05.784,-2
0:05.786,0
0:05.788,-3
0:05.790,-5
0:05.792,-8
0:05.794,-10
0:05.796,-9
0:05.798,-7
0:05.800,-4
0:05.802,-2
0:05.804,0
0:05.806,4
0:05.808,-2
0:05.810,-4
0:05.812,-2
0:05.814,-2
0:05.816,-3
0:05.818,0
0:05.820,5
0:05.822,6
0:05.824,8
0:05.826,8
0:05.828,10
0:05.830,11
0:05.832,14
0:05.834,14
0:05.836,15
0:05.838,17
0:05.840,21
0:05.842,24
0:05.844,26
0:05.846,27
0:05.848,23
0:05.850,22
0:05.852,20
0:05.854,17
0:05.856,16
0:05.858,20
0:05.860,20
0:05.862,22
0:05.864,21
0:05.866,23
0:05.868,21
0:05.870,21
0:05.872,18
0:05.874,19
0:05.876,16
0:05.878,17
0:05.880,21
0:05.882,21
0:05.884,24
0:05.886,24
0:05.888,22
0:05.890,18
0:05.892,18
0:05.894,16
0:05.896,13
0:05.898,15
0:05.900,18
0:05.902,19
0:05.904,19
0:05.906,24
0:05.908,20
0:05.910,18
0:05.912,20
0:05.914,17
0:05.916,14
0:05.918,14
0:05.920,17
0:05.922,20
0:05.924,20
0:05.926,18
0:05.928,20
0:05.930,17
0:05.932,17
0:05.934,14
0:05.936,14
0:05.938,15
0:05.940,15
0:05.942,14
0:05.944,17
0:05.946,14
0:05.948,14
0:05.950,11
0:05.952,9
0:05.954,6
0:05.956,6
0:05.958,10
0:05.960,16
0:05.962,28
0:05.964,43
0:05.966,52
0:05.968,61
0:05.970,73
0:05.972,83
0:05.974,99
0:05.976,119
0:05.978,146
0:05.980,170
0:05.982,173
0:05.984,172
0:05.986,162
0:05.988,146
0:05.990,127
0:05.992,109
0:05.994,85
0:05.996,63
0:05.998,41
0:06.000,18
0:06.002,2
0:06.004,2
0:06.006,8
0:06.008,6
0:06.010,8
0:06.012,10
0:06.014,14
0:06.016,18
0:06.018,23
0:06.020,24
0:06.022,26
0:06.024,26
0:06.026,24
0:06.028,22
0:06.030,21
0:06.032,19
0:06.034,17
0:06.036,18
0:06.038,20
0:06.040,21
0:06.042,22
0:06.044,25
0:06.046,25
0:06.048,22
0:06.050,21
0:06.052,21
0:06.054,17
0:06.056,18
0:06.058,21
0:06.060,21
0:06.062,22
0:06.064,23
0:06.066,24
0:06.068,21
0:06.070,19
0:06.072,19
0:06.074,17
0:06.076,19
0:06.078,22
0:06.080,24
0:06.082,25
0:06.084,27
0:06.086,29
0:06.088,26
0:06.090,22
0:06.092,21
0:06.094,22
0:06.096,23
0:06.098,26
0:06.100,25
0:06.102,29
0:06.104,32
0:06.106,30
0:06.108,27
0:06.110,24
0:06.112,24
0:06.114,24
0:06.116,24
0:06.118,27
0:06.120,29
0:06.122,33
0:06.124,35
0:06.126,33
0:06.128,32
0:06.130,33
0:06.132,33
0:06.134,30
0:06.136,29
0:06.138,31
0:06.140,31
0:06.142,31
0:06.144,32
0:06.146,29
0:06.148,33
0:06.150,35
0:06.152,33
0:06.154,31
0:06.156,35
0:06.158,38
0:06.160,40
0:06.162,45
0:06.164,44
0:06.166,46
0:06.168,46
0:06.170,48
0:06.172,46
0:06.174,45
0:06.176,49
0:06.178,51
0:06.180,52
0:06.182,58
0:06.184,57
0:06.186,54
0:06.188,53
0:06.190,59
0:06.192,63
0:06.194,60
0:06.196,60
0:06.198,60
0:06.200,62
0:06.202,65
0:06.204,64
0:06.206,65
0:06.208,63
0:06.210,63
0:06.212,61
0:06.214,60
0:06.216,61
0:06.218,63
0:06.220,62
0:06.222,62
0:06.224,61
0:06.226,59
0:06.228,57
0:06.230,54
0:06.232,48
0:06.234,45
0:06.236,44
0:06.238,44
0:06.240,44
0:06.242,42
0:06.244,39
0:06.246,33
0:06.248,30
0:06.250,28
0:06.252,27
0:06.254,20
0:06.256,20
0:06.258,19
0:06.260,24
0:06.262,21
0:06.264,20
0:06.266,16
0:06.268,10
0:06.270,7
0:06.272,5
0:06.274,3
0:06.276,1
0:06.278,4
0:06.280,4
0:06.282,4
0:06.284,6
0:06.286,3
0:06.288,-2
0:06.290,-7
0:06.292,-6
0:06.294,-4
0:06.296,-3
0:06.298,-2
0:06.300,0
0:06.302,1
0:06.304,1
0:06.306,-4
0:06.308,-6
0:06.310,-9
0:06.312,-8
0:06.314,-7
0:06.316,-6
0:06.318,-6
0:06.320,-3
0:06.322,-3
0:06.324,-2
0:06.326,-7
0:06.328,-9
0:06.330,-9
0:06.332,-11
0:06.334,-11
0:06.336,-6
0:06.338,-5
0:06.340,-5
0:06.342,-6
0:06.344,-8
0:06.346,-11
0:06.348,-13
0:06.350,-14
0:06.352,-15
0:06.354,-14
0:06.356,-11
0:06.358,-7
0:06.360,-6
0:06.362,-5
0:06.364,-8
0:06.366,-11
0:06.368,-14
0:06.370,-18
0:06.372,-17
0:06.374,-13
0:06.376,-12
0:06.378,-9
0:06.380,-9
0:06.382,-6
0:06.384,-8
0:06.386,-11
0:06.388,-12
0:06.390,-12
0:06.392,-14
0:06.394,-11
0:06.396,-10
0:06.398,-7
0:06.400,-6
0:06.402,-5
0:06.404,-6
0:06.406,-9
0:06.408,-10
0:06.410,-12
0:06.412,-13
0:06.414,-11
0:06.416,-9
0:06.418,-7
0:06.420,-7
0:06.422,-6
0:06.424,-10
0:06.426,-10
0:06.428,-9
0:06.430,-10
0:06.432,-11
0:06.434,-8
0:06.436,-6
0:06.438,-9
0:06.440,-8
0:06.442,-11
0:06.444,-15
0:06.446,-19
0:06.448,-20
0:06.450,-19
0:06.452,-18
0:06.454,-16
0:06.456,-16
0:06.458,-10
0:06.460,-9
0:06.462,-10
0:06.464,-10
0:06.466,-14
0:06.468,-16
0:06.470,-17
0:06.472,-19
0:06.474,-15
0:06.476,-13
0:06.478,-10
0:06.480,-9
0:06.482,-10
0:06.484,-11
0:06.486,-15
0:06.488,-16
0:06.490,-18
0:06.492,-18
0:06.494,-16
0:06.496,-16
0:06.498,-15
0:06.500,-15
0:06.502,-12
0:06.504,-15
0:06.506,-18
0:06.508,-18
0:06.510,-17
0:06.512,-19
0:06.514,-19
0:06.516,-16
0:06.518,-17
0:06.520,-18
0:06.522,-16
0:06.524,-17
0:06.526,-20
0:06.528,-26
0:06.530,-23
0:06.532,-23
0:06.534,-19
0:06.536,-18
0:06.538,-18
0:06.540,-16
0:06.542,-16
0:06.544,-17
0:06.546,-16
0:06.548,-21
0:06.550,-23
0:06.552,-23
